SUBARU LEGACY OUTBACK (2005),1
KIA FG KARENS (2008),1
ÿ≈¬–ŒÀ≈ ¿¬≈Œ KL1T (2012),1
RENAULT MEGAN (2007),1
CHEVROLET LACETTI KLAN(J200/ (2010),1
MITSUBISHI LANCER 2.0 (2007),2
KIA CEED (2009),4
CHEVROLET KLAL (ERISA) (2010),7
GAZ 3110 (2000),2
MITSUBISHI LANSER (2007),1
CHEVROLET KLAN J200 CHEVROLETL (2011),2
KIA TD CERATO FORTE (2012),1
AUDI 4 (1998),1
VOLVO S60 (2006),3
KIA -SPECTRA (FB2273) (2007),2
BMW 525 (1997),1
MERCEDES-BENZ ≈240 (1999),1
CHEVROLET LACETTI J200 (2010),1
FORD S-MAX (2006),2
NISSAN TEANA 2.3PREMIUM (2006),1
KIA ED CEE*D (2010),1
FORD FOKUS (2008),1
KIA CERATO (2008),1
KIA CEED (2008),12
NISSAN MAXIMA (2001),1
PEUGEOT 308 (2008),1
A21 VORTEX ESTINA YESTINA A21 (2010),1
HYUNDAI NF SONATA 2.0 GLS AT (2008),1
RENAUL LOGAN SR (2008),1
CITROEN C4 PICASSO (2012),1
RENAULT SR (2008),30
LAND ROVER FREELANDER 2 (2012),1
VOLKSWAGEN PASSAT (2005),1
CHEVROLET KLAN J200/SHEVROLE (2010),1
CHEVROLET KLAN (J200/CHEVROLET) (2010),2
CHEVROLET KLAN J200/LACETTI (2011),12
KIA F¬2272 (SPECTRA) (2006),7
NISSAN ALMERA 1.8 LUKHURY (2005),1
MITSUBISHI LANSER 1.6 (2006),2
KIA ED CEED (2011),6
HYUNDAI SONATA  AT (2011),1
VOLKSWAGEN JETTA (2002),1
VAZ 21703 LADA PRIORA (2007),1
¬¿« 21093 (2002),1
CHEVROLET EPICA KLAL (2011),1
CHRYSLER TOWN&COUNTRY (2001),1
VAZ 21043 (1999),2
NISSAN -PRIMERA COMFORT (2004),1
LADA PRIORA 217230 (2011),1
KIA DE(JB/RIO) (2010),1
VOLKSWAGEN 7HC CARAVELLE (2011),1
LADA 210540 (2010),3
MITSUBISHI ASX 1.8 (2011),1
NISSAN QASHQAI (2010),2
LADA 210740 (2010),1
NISSAN TEANA 2.3LUXURY (2006),1
NISSAN TIANA (2008),1
VAZ 21041-30 (2011),1
HYUNDAI A—CENT (2008),1
SKODA OKTAVIA TOUR (2008),2
PEUGEOT 308 (2010),5
CHEVROLET -LANOS (2009),1
HYUNDAI NF SONATA 2.0 GL MT (2008),2
VAZ 21150 (2002),1
CHEVROLET KLAN LATSETTI (J200) (2007),1
MITSUBISHI COLT 1.3 (2007),1
NISSAN ALMERA 1.5 COMFORT (2003),1
OPEL ASTRA STATIONWAGON(A-Y/SW (2011),1
’≈Õƒ› NF SONATA 2.0 GLS AT (2010),1
NISSAN TIIDA (2012),15
VAZ 21102 (2001),1
MITSUBISHI OUTLANDER 3.0 (2008),1
VAZ 11184 (2008),1
VAZ 217230 (2010),1
FORD FOCUS (2010),287
MITSUBISHI OUTLANDER 2.0 (2009),1
VAZ 21053 (2007),1
HYUNDAI TUSSON 2.0 GLS AT (2008),1
CHEVROLET LACETTI (2007),15
SUZUKI LIANA (2007),1
NISSAN ALMERA KLASSIK (2007),1
MITSUBISHI LANCER 1.5 (2010),3
MERCEDES-BENZ M-KLASSE ML 430 (1999),1
PEUGEOT PERTNER (2010),1
KIA OPTIMA (2012),1
HYUNDAI NF 2.0 GL MT (2007),4
CHEVROLET KLAN (J200/SHEVROLE (2010),3
HYUNDAI SONATA 2.0I16VGLS (2001),1
CHEVROLET KLAN (J200/SHEVROLET) (2008),1
NISSAN ALMERA CLASSIC 16R≈ (2008),1
VAZ 21150 (2007),1
MITSUBISHI GALANT (1998),1
CHEVROLET KLAS ABEO (2010),2
MERCEDES-BENZ E 200 KOMPRESSOR (2007),8
KIA GE MAGENTIS OPTIMA/MG (2008),1
VOLKSWAGEN POLO (2012),3
KIA CARENS (2009),7
HYUNDAI ELANTRA 1.6 GLSAT (2010),1
VOLVO 940 (1993),1
HYUNDAI TG2.7 GLS AT (2007),1
VOLKSWAGEN PASSAT (2010),2
HYUNDAI SONATA EF (1999),1
OPEL ZAFIRA (2008),6
DODGE CARAVAN (2001),1
HYUNDAI TG 2.7 GLS AT (2007),7
KIA SPECTRA FB2273 (2009),1
HYNDAI SONATA (2008),1
KIA (CARENS/UN) (2011),1
RENAULT SCENIC (2005),1
HYUNDAI -ELANTRA 1.6 GLS AT (2008),2
TOYOTA RAV4 (2010),1
HYUNDAI ELANTRA 1.6GLSAUTO (2004),1
DAEWOO NEXIA BDC (2004),1
OPEL ZAFIRA (2006),2
CHEVROLET KLAN J200/SHEBPOLELA (2011),2
VOLKSWAGEN KARAVELLA TDI (2006),1
MITSUBISHI GRANDIS 2.4 6 SEATE (2004),1
CHEVROLET KLAL (2009),1
KIA SID (2010),1
HYUNDAI NF 2.0 GLMT (2007),1
CHEVROLET LACETTI (2009),9
VOLVO V50 (2008),1
PEUGEOT PARTNER (2007),16
VOLKSWAGEN CADDY (2010),2
KIA YED SIID (2008),1
CHEVROLET KL 1J CRUZE (2012),1
MITSUBISHI OUTLANDER 3.0 (2007),1
OPEL ASTRA A-H/NB (2011),1
NISSAN ALMERA 1.5 COMFORT (2005),3
HYUNDAI ACCENT (2009),13
CHEVROLET CRUZE KL1J (2012),6
NISSAN ALMERA (2009),1
SKODA OKTAVIA (2010),8
KIA FG (2009),10
¬¿« 21074 (2007),1
NISSAN TEANA 2.0 ELEGANCE (2006),1
VOLKSWAGEN JETTA (2007),1
KIA SPECTRA FB2272 (2007),1
RENAULT LOGAN SR (2005),8
MERCEDES-BENZ E200 KOMPRESSOR (1999),1
VAZ 21114 (2008),1
DAEWOO NUBIRA (2000),1
KIA ED (SEED) (2010),1
ÿ≈¬–ŒÀ≈ KLAN(J200/LACETTI) (2010),1
MINI ONE (2008),1
“Œ…Œ“¿  ¿Ã–» (2011),1
KIA SPECTRA FB2272 (2006),1
LAND ROVER DISCOVERY 3 (2006),1
KIA ED (SID) (2008),1
SHKODA OCTAVIA (2010),5
RENAULT LOGAN (SR) (2007),3
VOLKSWAGEN MULTIVAN (2003),1
SHKODA OCTAVIA (2011),13
KIA RIO (DS2233) (2004),1
HYUDAI GRAND STAREX (2010),1
—HEVROLET KLAL EPICA (2010),1
VOLVO XC90 (2007),1
RENAULT FLUENCE (2012),6
‘Œ–ƒ — Œ–œ»Œ (1993),1
MERCEDES-BENZ E240 AVANTGARDE (2005),1
TOYOTA CAMRY (2008),20
NISSAN ALMERA CLASSIC (2011),1
CHEVROLET KLAN (J200/LACETTI) (2012),2
FIAT DOBLO (2011),1
FIAT 178 CYN1AALBEA (2008),1
MERCEDES -BENZ E200 CGI (2010),1
NISSAN TEANA (2009),1
RENAULT SR LOGAN (2011),1
NISSAN "ALMERA 1 (5"),1
OPEL ACTPA (2008),1
CHEVROLET KLAN J200/SHEVROLET (2010),1
KIA ED (CEED) (2008),1
MITSUBISH LANCER 1.5 (2008),1
CHEVROLET KLAN (J200/SHEBPOLEL) (2008),1
MERCEDES-BENZ 190E (1989),1
TOYOTA NOAH (2005),1
RENAULT LATITUDE (2012),1
RENAULT MEGAN II S2E16 115 E2 (2006),1
—HEVROLET CRUZE (2010),1
