1;11.35
2;12.39
2;15.01
1;9.06
1;9.26
2;12.93
2;9.22
2;14.27
2;14.78
2;10.6
2;4.8
2;10.85
2;10.0
1;7.0
1;12.77
1;5.94
1;10.62
1;14.3
2;15.53
2;16.52
1;9.11
2;11.28
1;7.52
2;10.33
2;9.76
2;13.41
2;13.82
2;10.15
2;7.71
2;18.16
2;8.94
2;8.65
2;6.19
1;8.89
1;10.26
1;14.76
2;10.11
2;13.79
2;12.51
2;7.41
2;6.0
1;5.89
2;12.18
2;11.79
1;6.2
2;13.53
2;6.21
1;15.18
1;11.2
2;10.77
2;7.8
2;7.96
2;6.71
1;9.72
2;3.96
1;3.55
1;5.02
2;5.46
1;14.46
1;16.82
1;9.45
1;15.79
2;13.63
2;9.17
2;8.59
1;10.23
2;18.07
2;16.55
2;6.84
1;11.01
2;4.85
1;5.26
1;9.62
1;8.8
1;7.16
1;8.72
2;11.52
1;18.72
2;8.77
2;4.13
2;7.31
2;14.04
1;17.41
2;12.43
1;5.14
1;9.69
2;9.47
1;17.66
1;9.62
2;14.69
1;17.44
1;15.36
2;6.65
2;3.93
1;3.91
1;8.33
1;7.9
1;9.06
1;7.38
2;8.45
2;10.1
2;14.23
2;9.27
2;9.32
2;12.77
2;15.69
2;7.51
1;10.46
2;13.77
1;10.9
2;12.77
2;10.31
2;7.27
2;8.0
2;4.47
2;8.95
2;6.58
2;13.28
2;10.91
1;13.84
1;18.25
2;5.35
2;6.52
1;14.63
1;5.28
